participant,trial,x_orig,y_orig,t,dur,cluster_x,cluster_y,lt_x,lt_y,chosen_method,chosen_x,chosen_y,wb_centres
SS014,1,1073.7,632.9,0,552,1073.7,633,1044.201,618.2814,cluster,1073.7,633,[768 581 838 617;847 581 922 617;931 581 985 617;994 581 1102 617;1111 581 1188 617;1197 581 1280 617;1289 581 1389 617;1398 581 1484 617;1493 581 1566 617;768 615 856 651;865 615 962 651;971 615 1065 651;1074 615 1173 651;1182 615 1282 651;1291 615 1402 651;1411 615 1526 651;1535 615 1648 651;1657 615 1752 651;768 649 850 685;859 649 979 685;988 649 1070 685;1079 649 1154 685;1163 649 1252 685;1261 649 1341 685;1350 649 1427 685;1436 649 1543 685;1552 649 1626 685;768 683 854 719;863 683 973 719;982 683 1051 719;1060 683 1132 719;1141 683 1268 719;1277 683 1361 719;1370 683 1454 719;1463 683 1531 719;1540 683 1650 719;768 717 846 753;855 717 919 753;928 717 1017 753;1026 717 1099 753;1108 717 1208 753;1217 717 1302 753;1311 717 1419 753;1428 717 1504 753;1513 717 1596 753;768 751 869 787;878 751 944 787;953 751 1060 787;1069 751 1160 787;1169 751 1273 787;1282 751 1381 787]
SS014,1,945.9,621.2,163,130,945.9,599,920.6183,609.5142,cluster,945.9,599,[768 581 838 617;847 581 922 617;931 581 985 617;994 581 1102 617;1111 581 1188 617;1197 581 1280 617;1289 581 1389 617;1398 581 1484 617;1493 581 1566 617;768 615 856 651;865 615 962 651;971 615 1065 651;1074 615 1173 651;1182 615 1282 651;1291 615 1402 651;1411 615 1526 651;1535 615 1648 651;1657 615 1752 651;768 649 850 685;859 649 979 685;988 649 1070 685;1079 649 1154 685;1163 649 1252 685;1261 649 1341 685;1350 649 1427 685;1436 649 1543 685;1552 649 1626 685;768 683 854 719;863 683 973 719;982 683 1051 719;1060 683 1132 719;1141 683 1268 719;1277 683 1361 719;1370 683 1454 719;1463 683 1531 719;1540 683 1650 719;768 717 846 753;855 717 919 753;928 717 1017 753;1026 717 1099 753;1108 717 1208 753;1217 717 1302 753;1311 717 1419 753;1428 717 1504 753;1513 717 1596 753;768 751 869 787;878 751 944 787;953 751 1060 787;1069 751 1160 787;1169 751 1273 787;1282 751 1381 787]
SS014,1,872.7,614.9,396,212,872.7,599,849.8382,604.9016,cluster,872.7,599,[768 581 838 617;847 581 922 617;931 581 985 617;994 581 1102 617;1111 581 1188 617;1197 581 1280 617;1289 581 1389 617;1398 581 1484 617;1493 581 1566 617;768 615 856 651;865 615 962 651;971 615 1065 651;1074 615 1173 651;1182 615 1282 651;1291 615 1402 651;1411 615 1526 651;1535 615 1648 651;1657 615 1752 651;768 649 850 685;859 649 979 685;988 649 1070 685;1079 649 1154 685;1163 649 1252 685;1261 649 1341 685;1350 649 1427 685;1436 649 1543 685;1552 649 1626 685;768 683 854 719;863 683 973 719;982 683 1051 719;1060 683 1132 719;1141 683 1268 719;1277 683 1361 719;1370 683 1454 719;1463 683 1531 719;1540 683 1650 719;768 717 846 753;855 717 919 753;928 717 1017 753;1026 717 1099 753;1108 717 1208 753;1217 717 1302 753;1311 717 1419 753;1428 717 1504 753;1513 717 1596 753;768 751 869 787;878 751 944 787;953 751 1060 787;1069 751 1160 787;1169 751 1273 787;1282 751 1381 787]
SS014,1,859.6,620.4,558,150,859.6,599,837.2448,610.8278,cluster,859.6,599,[768 581 838 617;847 581 922 617;931 581 985 617;994 581 1102 617;1111 581 1188 617;1197 581 1280 617;1289 581 1389 617;1398 581 1484 617;1493 581 1566 617;768 615 856 651;865 615 962 651;971 615 1065 651;1074 615 1173 651;1182 615 1282 651;1291 615 1402 651;1411 615 1526 651;1535 615 1648 651;1657 615 1752 651;768 649 850 685;859 649 979 685;988 649 1070 685;1079 649 1154 685;1163 649 1252 685;1261 649 1341 685;1350 649 1427 685;1436 649 1543 685;1552 649 1626 685;768 683 854 719;863 683 973 719;982 683 1051 719;1060 683 1132 719;1141 683 1268 719;1277 683 1361 719;1370 683 1454 719;1463 683 1531 719;1540 683 1650 719;768 717 846 753;855 717 919 753;928 717 1017 753;1026 717 1099 753;1108 717 1208 753;1217 717 1302 753;1311 717 1419 753;1428 717 1504 753;1513 717 1596 753;768 751 869 787;878 751 944 787;953 751 1060 787;1069 751 1160 787;1169 751 1273 787;1282 751 1381 787]
SS014,1,975.3,627.6,836,253,975.3,599,949.0894,615.309,cluster,975.3,599,[768 581 838 617;847 581 922 617;931 581 985 617;994 581 1102 617;1111 581 1188 617;1197 581 1280 617;1289 581 1389 617;1398 581 1484 617;1493 581 1566 617;768 615 856 651;865 615 962 651;971 615 1065 651;1074 615 1173 651;1182 615 1282 651;1291 615 1402 651;1411 615 1526 651;1535 615 1648 651;1657 615 1752 651;768 649 850 685;859 649 979 685;988 649 1070 685;1079 649 1154 685;1163 649 1252 685;1261 649 1341 685;1350 649 1427 685;1436 649 1543 685;1552 649 1626 685;768 683 854 719;863 683 973 719;982 683 1051 719;1060 683 1132 719;1141 683 1268 719;1277 683 1361 719;1370 683 1454 719;1463 683 1531 719;1540 683 1650 719;768 717 846 753;855 717 919 753;928 717 1017 753;1026 717 1099 753;1108 717 1208 753;1217 717 1302 753;1311 717 1419 753;1428 717 1504 753;1513 717 1596 753;768 751 869 787;878 751 944 787;953 751 1060 787;1069 751 1160 787;1169 751 1273 787;1282 751 1381 787]
SS014,1,1044.9,676.1,1042,187,1044.9,701,1016.86,663.0015,cluster,1044.9,701,[768 581 838 617;847 581 922 617;931 581 985 617;994 581 1102 617;1111 581 1188 617;1197 581 1280 617;1289 581 1389 617;1398 581 1484 617;1493 581 1566 617;768 615 856 651;865 615 962 651;971 615 1065 651;1074 615 1173 651;1182 615 1282 651;1291 615 1402 651;1411 615 1526 651;1535 615 1648 651;1657 615 1752 651;768 649 850 685;859 649 979 685;988 649 1070 685;1079 649 1154 685;1163 649 1252 685;1261 649 1341 685;1350 649 1427 685;1436 649 1543 685;1552 649 1626 685;768 683 854 719;863 683 973 719;982 683 1051 719;1060 683 1132 719;1141 683 1268 719;1277 683 1361 719;1370 683 1454 719;1463 683 1531 719;1540 683 1650 719;768 717 846 753;855 717 919 753;928 717 1017 753;1026 717 1099 753;1108 717 1208 753;1217 717 1302 753;1311 717 1419 753;1428 717 1504 753;1513 717 1596 753;768 751 869 787;878 751 944 787;953 751 1060 787;1069 751 1160 787;1169 751 1273 787;1282 751 1381 787]
SS014,1,1236.8,665.3,1338,259,1236.8,701,1202.113,647.2659,cluster,1236.8,701,[768 581 838 617;847 581 922 617;931 581 985 617;994 581 1102 617;1111 581 1188 617;1197 581 1280 617;1289 581 1389 617;1398 581 1484 617;1493 581 1566 617;768 615 856 651;865 615 962 651;971 615 1065 651;1074 615 1173 651;1182 615 1282 651;1291 615 1402 651;1411 615 1526 651;1535 615 1648 651;1657 615 1752 651;768 649 850 685;859 649 979 685;988 649 1070 685;1079 649 1154 685;1163 649 1252 685;1261 649 1341 685;1350 649 1427 685;1436 649 1543 685;1552 649 1626 685;768 683 854 719;863 683 973 719;982 683 1051 719;1060 683 1132 719;1141 683 1268 719;1277 683 1361 719;1370 683 1454 719;1463 683 1531 719;1540 683 1650 719;768 717 846 753;855 717 919 753;928 717 1017 753;1026 717 1099 753;1108 717 1208 753;1217 717 1302 753;1311 717 1419 753;1428 717 1504 753;1513 717 1596 753;768 751 869 787;878 751 944 787;953 751 1060 787;1069 751 1160 787;1169 751 1273 787;1282 751 1381 787]
SS014,1,1304.4,638.8,1529,170,1304.4,633,1267.12,618.6019,cluster,1304.4,633,[768 581 838 617;847 581 922 617;931 581 985 617;994 581 1102 617;1111 581 1188 617;1197 581 1280 617;1289 581 1389 617;1398 581 1484 617;1493 581 1566 617;768 615 856 651;865 615 962 651;971 615 1065 651;1074 615 1173 651;1182 615 1282 651;1291 615 1402 651;1411 615 1526 651;1535 615 1648 651;1657 615 1752 651;768 649 850 685;859 649 979 685;988 649 1070 685;1079 649 1154 685;1163 649 1252 685;1261 649 1341 685;1350 649 1427 685;1436 649 1543 685;1552 649 1626 685;768 683 854 719;863 683 973 719;982 683 1051 719;1060 683 1132 719;1141 683 1268 719;1277 683 1361 719;1370 683 1454 719;1463 683 1531 719;1540 683 1650 719;768 717 846 753;855 717 919 753;928 717 1017 753;1026 717 1099 753;1108 717 1208 753;1217 717 1302 753;1311 717 1419 753;1428 717 1504 753;1513 717 1596 753;768 751 869 787;878 751 944 787;953 751 1060 787;1069 751 1160 787;1169 751 1273 787;1282 751 1381 787]
SS014,1,1188,645.8,2128,278,1188,633,1154.757,628.604,cluster,1188,633,[768 581 838 617;847 581 922 617;931 581 985 617;994 581 1102 617;1111 581 1188 617;1197 581 1280 617;1289 581 1389 617;1398 581 1484 617;1493 581 1566 617;768 615 856 651;865 615 962 651;971 615 1065 651;1074 615 1173 651;1182 615 1282 651;1291 615 1402 651;1411 615 1526 651;1535 615 1648 651;1657 615 1752 651;768 649 850 685;859 649 979 685;988 649 1070 685;1079 649 1154 685;1163 649 1252 685;1261 649 1341 685;1350 649 1427 685;1436 649 1543 685;1552 649 1626 685;768 683 854 719;863 683 973 719;982 683 1051 719;1060 683 1132 719;1141 683 1268 719;1277 683 1361 719;1370 683 1454 719;1463 683 1531 719;1540 683 1650 719;768 717 846 753;855 717 919 753;928 717 1017 753;1026 717 1099 753;1108 717 1208 753;1217 717 1302 753;1311 717 1419 753;1428 717 1504 753;1513 717 1596 753;768 751 869 787;878 751 944 787;953 751 1060 787;1069 751 1160 787;1169 751 1273 787;1282 751 1381 787]
SS014,1,1293.7,645.1,2355,202,1293.7,633,1256.854,625.2839,cluster,1293.7,633,[768 581 838 617;847 581 922 617;931 581 985 617;994 581 1102 617;1111 581 1188 617;1197 581 1280 617;1289 581 1389 617;1398 581 1484 617;1493 581 1566 617;768 615 856 651;865 615 962 651;971 615 1065 651;1074 615 1173 651;1182 615 1282 651;1291 615 1402 651;1411 615 1526 651;1535 615 1648 651;1657 615 1752 651;768 649 850 685;859 649 979 685;988 649 1070 685;1079 649 1154 685;1163 649 1252 685;1261 649 1341 685;1350 649 1427 685;1436 649 1543 685;1552 649 1626 685;768 683 854 719;863 683 973 719;982 683 1051 719;1060 683 1132 719;1141 683 1268 719;1277 683 1361 719;1370 683 1454 719;1463 683 1531 719;1540 683 1650 719;768 717 846 753;855 717 919 753;928 717 1017 753;1026 717 1099 753;1108 717 1208 753;1217 717 1302 753;1311 717 1419 753;1428 717 1504 753;1513 717 1596 753;768 751 869 787;878 751 944 787;953 751 1060 787;1069 751 1160 787;1169 751 1273 787;1282 751 1381 787]
SS014,1,1390.8,626.1,2675,294,1390.8,599,1350.441,603.5328,cluster,1390.8,599,[768 581 838 617;847 581 922 617;931 581 985 617;994 581 1102 617;1111 581 1188 617;1197 581 1280 617;1289 581 1389 617;1398 581 1484 617;1493 581 1566 617;768 615 856 651;865 615 962 651;971 615 1065 651;1074 615 1173 651;1182 615 1282 651;1291 615 1402 651;1411 615 1526 651;1535 615 1648 651;1657 615 1752 651;768 649 850 685;859 649 979 685;988 649 1070 685;1079 649 1154 685;1163 649 1252 685;1261 649 1341 685;1350 649 1427 685;1436 649 1543 685;1552 649 1626 685;768 683 854 719;863 683 973 719;982 683 1051 719;1060 683 1132 719;1141 683 1268 719;1277 683 1361 719;1370 683 1454 719;1463 683 1531 719;1540 683 1650 719;768 717 846 753;855 717 919 753;928 717 1017 753;1026 717 1099 753;1108 717 1208 753;1217 717 1302 753;1311 717 1419 753;1428 717 1504 753;1513 717 1596 753;768 751 869 787;878 751 944 787;953 751 1060 787;1069 751 1160 787;1169 751 1273 787;1282 751 1381 787]
